#  Nr    Dist               Kx                 Ky                 Kz                 band1(1)           band2(1)           band3(1)           band4(1)           band5(0)           band6(0)           band7(0)           band8(0)           band9(0)           band10(0)          band11(0)          band12(0)         
  47     0.500000000000     0.044871790000     0.544871790000     0.770565075173    -2.960800000000    -2.960800000000     3.299600000000     3.299600000000    14.861500000000    14.861500000000    26.554300000000    26.554300000000    32.956600000000    32.956600000000    41.942900000000    41.943500000000
  48     0.500000000000     0.051282050000     0.551282050000     0.779630551803    -2.946400000000    -2.946400000000     3.253200000000     3.253200000000    14.953400000000    14.953400000000    26.519400000000    26.519400000000    32.903400000000    32.903400000000    41.862500000000    41.862800000000
  49     0.500000000000     0.057692310000     0.557692310000     0.788696028433    -2.930200000000    -2.930200000000     3.200100000000     3.200100000000    15.055700000000    15.055700000000    26.465900000000    26.465900000000    32.842900000000    32.842900000000    41.776300000000    41.776600000000
  50     0.500000000000     0.064102560000     0.564102560000     0.797761490921    -2.912300000000    -2.912300000000     3.142300000000     3.142300000000    15.168600000000    15.168600000000    26.405400000000    26.405400000000    32.777300000000    32.777300000000    41.687900000000    41.688000000000
  51     0.500000000000     0.070512820000     0.570512820000     0.806826967552    -2.892700000000    -2.892700000000     3.080300000000     3.080300000000    15.291500000000    15.291500000000    26.337800000000    26.337800000000    32.707300000000    32.707300000000    41.598600000000    41.598700000000
  52     0.500000000000     0.076923080000     0.576923080000     0.815892444182    -2.871400000000    -2.871400000000     3.014400000000     3.014400000000    15.424200000000    15.424200000000    26.262900000000    26.262900000000    32.633500000000    32.633500000000    41.509600000000    41.509600000000
  53     0.500000000000     0.083333330000     0.583333330000     0.824957906670    -2.848600000000    -2.848600000000     2.945100000000     2.945100000000    15.566000000000    15.566000000000    26.180300000000    26.180300000000    32.556800000000    32.556800000000    41.421700000000    41.421700000000
  54     0.500000000000     0.089743590000     0.589743590000     0.834023383301    -2.823900000000    -2.823900000000     2.873300000000     2.873300000000    15.718100000000    15.718100000000    26.095400000000    26.095400000000    32.491700000000    32.491700000000    41.337800000000    41.337800000000
  55     0.500000000000     0.096153850000     0.596153850000     0.843088859931    -2.798200000000    -2.798200000000     2.798600000000     2.798600000000    15.876800000000    15.876800000000    25.997100000000    25.997100000000    32.410300000000    32.410300000000    41.254700000000    41.254700000000
  56     0.500000000000     0.102564100000     0.602564100000     0.852154322419    -2.771200000000    -2.771200000000     2.722000000000     2.722000000000    16.043400000000    16.043400000000    25.890700000000    25.890700000000    32.328100000000    32.328100000000    41.174600000000    41.174600000000
  57     0.500000000000     0.108974360000     0.608974360000     0.861219799049    -2.743000000000    -2.743000000000     2.643800000000     2.643800000000    16.217400000000    16.217400000000    25.776100000000    25.776100000000    32.245800000000    32.245800000000    41.098000000000    41.098000000000
  58     0.500000000000     0.115384620000     0.615384620000     0.870285275680    -2.713800000000    -2.713800000000     2.564600000000     2.564600000000    16.398200000000    16.398200000000    25.653200000000    25.653200000000    32.164100000000    32.164100000000    41.025000000000    41.025000000000
  59     0.500000000000     0.121794870000     0.621794870000     0.879350738168    -2.683600000000    -2.683600000000     2.484800000000     2.484800000000    16.585400000000    16.585400000000    25.522100000000    25.522100000000    32.083600000000    32.083600000000    40.955900000000    40.955900000000
  60     0.500000000000     0.128205130000     0.628205130000     0.888416214798    -2.652700000000    -2.652700000000     2.404800000000     2.404800000000    16.778700000000    16.778700000000    25.382800000000    25.382800000000    32.005000000000    32.005000000000    40.890700000000    40.890700000000
  61     0.500000000000     0.134615380000     0.634615380000     0.897481677287    -2.621100000000    -2.621100000000     2.325100000000     2.325100000000    16.977500000000    16.977500000000    25.235300000000    25.235300000000    31.928800000000    31.928800000000    40.829500000000    40.829500000000
  62     0.500000000000     0.141025640000     0.641025640000     0.906547153917    -2.589100000000    -2.589100000000     2.245700000000     2.245700000000    17.180600000000    17.180600000000    25.073600000000    25.073600000000    31.855300000000    31.855300000000    40.770300000000    40.770500000000
  63     0.500000000000     0.147435900000     0.647435900000     0.915612630547    -2.556800000000    -2.556800000000     2.167900000000     2.167900000000    17.388900000000    17.388900000000    24.910700000000    24.910700000000    31.785100000000    31.785100000000    40.717100000000    40.717200000000
  64     0.500000000000     0.153846150000     0.653846150000     0.924678093035    -2.524500000000    -2.524500000000     2.091700000000     2.091700000000    17.601300000000    17.601300000000    24.740500000000    24.740500000000    31.718500000000    31.718500000000    40.667800000000    40.667800000000
  65     0.500000000000     0.160256410000     0.660256410000     0.933743569666    -2.492400000000    -2.492400000000     2.017600000000     2.017600000000    17.817400000000    17.817400000000    24.563400000000    24.563400000000    31.655700000000    31.655700000000    40.622300000000    40.622300000000
  66     0.500000000000     0.166666670000     0.666666670000     0.942809046296    -2.460600000000    -2.460600000000     1.946100000000     1.946100000000    18.036500000000    18.036500000000    24.380000000000    24.380000000000    31.597000000000    31.597000000000    40.580500000000    40.580600000000
  67     0.500000000000     0.173076920000     0.673076920000     0.951874508784    -2.429600000000    -2.429600000000     1.877400000000     1.877400000000    18.258000000000    18.258000000000    24.191000000000    24.191000000000    31.542500000000    31.542500000000    40.542200000000    40.542300000000
  68     0.500000000000     0.179487180000     0.679487180000     0.960939985415    -2.399500000000    -2.399500000000     1.812200000000     1.812200000000    18.481400000000    18.481400000000    23.996900000000    23.996900000000    31.492400000000    31.492400000000    40.507500000000    40.507600000000
  69     0.500000000000     0.185897440000     0.685897440000     0.970005462045    -2.370500000000    -2.370500000000     1.751200000000     1.751200000000    18.708200000000    18.708200000000    23.806500000000    23.806500000000    31.452200000000    31.452200000000    40.477600000000    40.477700000000
  70     0.500000000000     0.192307690000     0.692307690000     0.979070924533    -2.343200000000    -2.343200000000     1.694000000000     1.694000000000    18.932900000000    18.932900000000    23.604400000000    23.604400000000    31.410900000000    31.410900000000    40.449600000000    40.449700000000
  71     0.500000000000     0.198717950000     0.698717950000     0.988136401164    -2.317600000000    -2.317600000000     1.641400000000     1.641400000000    19.156500000000    19.156500000000    23.400600000000    23.400600000000    31.374000000000    31.374000000000    40.424800000000    40.424900000000
